date,daily_vaccinations_EUA,daily_vaccinations_MEX
20/12/2020,,
21/12/2020,57909,
22/12/2020,127432,
23/12/2020,150606,
24/12/2020,191001,
25/12/2020,215238,1300
26/12/2020,231396,1300
27/12/2020,211379,1300
28/12/2020,216147,1664
29/12/2020,235685,3121
30/12/2020,255223,3679
31/12/2020,278776,3695
01/01/2021,302329,4051
02/01/2021,325882,4407
03/01/2021,336949,4763
04/01/2021,348017,4912
05/01/2021,339372,4244
06/01/2021,358887,4027
07/01/2021,378253,4230
08/01/2021,419933,4984
09/01/2021,461263,5488
10/01/2021,546636,5876
11/01/2021,632009,6157
12/01/2021,641524,6378
13/01/2021,710238,19912
14/01/2021,747082,38797
15/01/2021,798707,49987
16/01/2021,811670,55493
17/01/2021,824632,55835
18/01/2021,837595,57924
19/01/2021,911493,57892
20/01/2021,892403,44066
21/01/2021,913912,31765
22/01/2021,975540,28205
23/01/2021,1057387,22217
24/01/2021,1122182,22498
25/01/2021,1126251,21797
26/01/2021,1119058,22028
27/01/2021,1161050,22145
28/01/2021,1235330,15072
29/01/2021,1253815,
