date,confirmed_cases,people_vaccinated
20/12/2020,187549,556208
21/12/2020,198608,614117
22/12/2020,197240,
23/12/2020,228761,1008025
24/12/2020,193161,
25/12/2020,96729,
26/12/2020,226844,1944585
27/12/2020,155688,
28/12/2020,174173,2127143
29/12/2020,198880,
30/12/2020,232016,2794588
31/12/2020,233916,
01/01/2021,152344,
02/01/2021,300282,4225756
03/01/2021,208556,
04/01/2021,183790,4563260
05/01/2021,233526,4836469
06/01/2021,253917,5306797
07/01/2021,276738,5919418
08/01/2021,292044,6688231
09/01/2021,261974,
10/01/2021,213281,
11/01/2021,213963,8987322
12/01/2021,226238,9327138
13/01/2021,229871,
14/01/2021,234975,9690757
15/01/2021,240707,10595866
16/01/2021,200764,
17/01/2021,177404,
18/01/2021,142605,
19/01/2021,176984,13595803
20/01/2021,182579,14270441
21/01/2021,193055,15053257
22/01/2021,190032,16243093
23/01/2021,170138,17390345
24/01/2021,131075,18502131
25/01/2021,151095,19252279
26/01/2021,146597,19902237
27/01/2021,152478,20687970
28/01/2021,168620,21698606

